Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Jackfruit sabzi (Kathal ki sabzi),,,625.4,0.69,67.6,,1.02,3.4,Indian Dishes,2.59,58.95,9.85,0.27,14.11,32.14
Avial,,,124.56,2.46,8.94,,5.44,8.47,Indian Dishes,3.83,81.5,31.9,1.01,94.64,108.12
Al yakhani,,,147.54,2.86,13.14,,1.27,4.65,Indian Dishes,3.56,206.24,103.88,0.46,5.41,60.75
Shahi paneer,,,156.5,5.06,12.34,,1.4,6.64,Indian Dishes,5.01,215.35,125.38,0.62,30.83,78.58
Paneer in butter sauce,,,145.61,6.99,8.81,,1.5,9.7,Indian Dishes,7.49,151.45,170.59,0.85,18.02,64.79
Methi malai paneer,,,194.98,7.34,14.76,,1.47,8.15,Indian Dishes,6.0,221.16,183.96,0.77,13.6,73.86
Chilli paneer,,,777.51,2.1,84.01,,0.5,3.31,Indian Dishes,1.5,89.04,42.9,0.36,4.87,28.7
Paneer makhana korma,,,775.82,3.24,82.76,,0.21,4.63,Indian Dishes,1.84,77.01,72.89,0.55,0.64,94.26
Kadhai Paneer,,,107.99,4.33,6.81,,2.07,7.34,Indian Dishes,5.54,144.33,91.53,0.65,85.83,117.12
Roghan josh,,,139.59,9.56,9.02,,2.08,4.93,Indian Dishes,2.66,204.31,112.33,1.77,12.41,36.34
Spinach mutton (Palak mutton),,,80.32,5.74,4.71,,2.23,3.45,Indian Dishes,1.42,121.1,96.88,2.38,88.11,391.34
Pea keema curry (Matar keema ki sabzi),,,133.0,8.43,8.14,,2.96,6.24,Indian Dishes,1.82,148.38,35.6,1.35,55.62,85.14
Keema kofta curry,,,154.45,9.77,10.39,,1.51,5.64,Indian Dishes,2.14,311.51,49.89,1.25,2.43,6.6
Kashmiri mutton koftas (Gushtaba),,,97.42,6.33,6.77,,0.62,3.04,Indian Dishes,2.13,130.11,52.53,0.85,3.22,22.46
Mutton yakhni,,,104.13,8.27,7.7,,0.67,0.84,Indian Dishes,0.13,101.02,88.61,1.66,0.09,6.51
Chicken yakhni,,,99.0,10.66,6.1,,0.62,0.78,Indian Dishes,0.12,97.38,28.24,0.93,0.09,13.24
Mutton do piaza,,,183.3,9.39,14.41,,1.93,4.14,Indian Dishes,2.9,118.62,118.61,1.63,7.42,67.3
Mutton chops,,,663.64,4.03,71.31,,0.17,1.48,Indian Dishes,0.42,51.03,36.18,0.64,3.75,16.68
Shammi kebab,,,685.69,4.52,72.61,,1.05,3.54,Indian Dishes,0.31,54.27,13.11,0.75,1.64,20.55
Scotch egg,,,676.89,4.05,72.62,,0.36,1.91,Indian Dishes,0.3,90.67,15.03,0.6,2.59,30.63
Shepherd's pie (with minced meat),,,142.78,7.45,8.88,,1.05,8.06,Indian Dishes,1.7,197.25,21.3,0.84,19.35,21.04
Chicken curry,,,129.22,11.79,7.57,,1.41,3.38,Indian Dishes,1.79,108.0,27.29,0.87,16.79,38.7
Tandoori chicken,,,145.2,16.26,7.93,,0.5,2.34,Indian Dishes,1.58,158.0,44.33,0.9,39.53,182.73
Butter chicken,,,137.0,10.92,8.7,,1.32,3.74,Indian Dishes,2.37,26.21,25.28,0.92,32.65,40.85
Chicken kebab,,,729.41,3.71,78.89,,0.21,1.11,Indian Dishes,0.24,69.76,3.46,0.28,0.41,3.83
Chilli chicken,,,198.83,9.57,16.56,,0.99,2.86,Indian Dishes,0.93,223.75,12.97,0.66,55.19,51.55
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),,,125.03,11.48,7.61,,1.13,2.51,Indian Dishes,1.16,107.56,16.09,0.64,10.78,17.41
Fish curry (Machli curry),,,111.13,8.76,6.69,,1.89,3.77,Indian Dishes,2.02,184.71,52.06,1.09,22.48,40.45
Fried fish (Indian style) (Tali hui machli),,,658.54,4.35,68.88,,0.61,5.4,Indian Dishes,0.4,156.94,11.11,0.56,7.22,35.19
Fried fish and Chips (English Style) (Tali hui machli aur chips),,,651.75,3.36,69.69,,0.29,2.77,Indian Dishes,0.17,72.73,6.56,0.26,22.16,31.65
Tomato fish,,,489.79,2.39,51.91,,0.72,3.18,Indian Dishes,1.35,91.47,6.46,0.24,75.09,76.88
Baked fish with cheese sauce,,,113.96,8.64,7.02,,0.08,4.06,Indian Dishes,3.22,209.48,115.64,0.26,9.97,29.36
Fish tikka,,,117.33,16.0,4.15,,1.18,3.91,Indian Dishes,1.18,503.44,31.98,1.41,0.9,4.62
Tandoori fish,,,95.98,11.19,4.64,,0.58,2.37,Indian Dishes,1.6,123.94,37.27,0.46,19.66,27.55
"Paneer, apple and pineapple salad",,,95.08,3.88,5.07,,1.65,8.35,Indian Dishes,6.36,176.63,103.05,0.84,25.3,67.13
Russian salad,,,114.83,4.26,7.84,,2.57,6.5,Indian Dishes,1.66,101.09,34.92,1.23,49.56,104.32
Pasta salad,,,190.36,4.15,13.92,,0.96,12.7,Indian Dishes,2.6,152.31,66.74,0.81,38.78,56.54
Deviled egg,,,98.56,4.97,7.72,,1.15,2.23,Indian Dishes,0.82,117.29,36.84,1.51,18.42,48.39
Hawain salad,,,175.23,4.27,11.37,,3.93,14.35,Indian Dishes,5.24,64.92,61.03,1.12,51.75,123.62
Mixed pulse and vegetable salad,,,83.12,4.74,0.84,,2.96,13.96,Indian Dishes,1.36,127.78,51.63,2.13,23.82,105.59
Sprouted moong salad ,,,37.81,2.29,0.74,,0.95,5.48,Indian Dishes,2.13,116.38,54.56,1.45,27.84,49.76
Tossed salad,,,62.96,1.02,4.22,,2.15,4.95,Indian Dishes,1.56,77.5,32.37,0.86,85.7,99.67
Mixed vegetable salad with curd sauce,,,60.28,4.23,1.5,,3.79,7.03,Indian Dishes,2.16,116.66,65.51,1.35,37.73,86.34
Potato salad (Aloo ka salaad),,,89.91,1.4,4.4,,1.32,11.19,Indian Dishes,3.94,125.01,25.61,0.99,58.78,52.72
Waldroff salad,,,141.75,1.47,10.05,,1.87,11.02,Indian Dishes,8.23,13.42,29.29,1.07,21.43,40.62
Coleslaw,,,76.71,1.24,5.32,,2.34,5.59,Indian Dishes,3.62,29.87,37.0,0.63,22.99,41.98
Fruit salad (Phalon ka salaad),,,78.14,0.91,1.22,,1.58,15.96,Indian Dishes,9.78,7.11,25.93,0.81,52.45,45.4
Tomato onion raita (Tamatar aur pyaaz ka raita),,,59.0,3.74,1.84,,0.97,7.08,Indian Dishes,5.98,165.21,120.62,0.26,15.04,34.77
Peanut raita (Mungfali ka raita),,,150.39,8.59,8.98,,1.89,9.3,Indian Dishes,7.11,235.83,174.6,0.74,2.59,36.67
Sprouted moong raita ,,,60.89,4.62,2.19,,0.16,6.13,Indian Dishes,5.59,189.2,139.44,0.86,3.59,27.0
Bottle gourd raita (Ghiya/Lauki ka raita),,,56.31,3.98,2.07,,0.85,5.76,Indian Dishes,5.25,188.37,138.26,0.23,4.76,39.49
Cucumber raita (Kheere ka raita),,,59.13,4.04,2.08,,0.86,6.35,Indian Dishes,5.22,189.96,138.58,0.29,5.65,26.92
Carrot and spinach raita (Gajar aur palak ka raita),,,56.83,4.0,1.99,,1.39,5.83,Indian Dishes,4.93,180.79,142.57,1.04,19.29,95.51
Mint raita (Pudinay ka raita),,,77.59,5.64,2.96,,0.34,7.65,Indian Dishes,7.48,274.38,198.22,0.37,2.94,20.62
Potato raita (Aloo ka raita),,,75.38,4.22,2.04,,0.75,10.24,Indian Dishes,5.08,183.37,132.31,0.34,15.33,27.03
Boondi raita,,,687.72,2.19,73.83,,0.46,3.96,Indian Dishes,1.88,99.18,49.0,0.24,0.77,37.83
Sweet raita (Meetha raita),,,99.24,3.24,1.78,,1.02,17.93,Indian Dishes,15.36,42.98,108.91,0.21,5.2,24.9
Dahi vadas/Dahi bhalla,,,667.73,2.96,70.4,,0.97,5.49,Indian Dishes,1.78,79.0,49.03,0.49,0.57,18.3
Gunjia,,,667.34,2.98,70.28,,1.13,5.68,Indian Dishes,2.05,77.9,48.16,0.5,0.51,19.06
Saunth/Sonth chutney with tamarind/imli,,,141.53,1.01,0.15,,0.93,33.55,Indian Dishes,31.31,244.38,54.74,2.71,0.09,0.99
Rice kheer (Chawal ki kheer),,,75.03,2.3,2.97,,0.17,10.05,Indian Dishes,8.02,16.24,75.57,0.17,5.06,19.54
Makhana kheer,,,107.85,3.31,5.0,,0.11,12.88,Indian Dishes,11.54,23.4,111.64,0.28,5.06,23.77
Vermicelli kheer (Semiya/Seviyan ki kheer),,,120.07,3.35,5.0,,0.5,15.87,Indian Dishes,12.79,22.52,104.8,0.3,4.06,16.29
Semolina kheer (Suji/Rava kheer),,,113.21,3.43,4.2,,0.51,15.88,Indian Dishes,12.88,22.66,105.99,0.34,4.06,17.54
Paneer kheer,,,105.31,4.53,5.37,,0.07,10.03,Indian Dishes,9.87,23.81,144.66,0.26,5.06,41.81
Cabbage kheer (Pattagobhi ki kheer),,,83.51,2.87,3.8,,0.51,9.73,Indian Dishes,9.28,22.67,102.74,0.24,17.36,33.51
Carrot kheer (Gajar ki kheer),,,85.35,2.81,3.85,,0.73,10.09,Indian Dishes,9.63,28.54,100.12,0.28,6.54,24.59
Cauliflower kheer (Phoolgobhi ki kheer),,,81.95,3.04,3.95,,0.55,8.78,Indian Dishes,8.49,25.19,101.75,0.3,23.92,36.87
Moong dal kheer,,,77.16,2.95,2.97,,0.4,9.89,Indian Dishes,7.92,16.34,75.66,0.28,5.06,32.3
Phirni,,,116.12,3.49,4.34,,0.36,16.11,Indian Dishes,10.79,22.47,104.57,0.23,5.04,20.33
Semolina halwa (Suji ka halwa),,,225.65,2.16,13.38,,1.86,24.67,Indian Dishes,13.98,1.28,11.77,0.65,0.05,7.96
Shahi suji halwa,,,382.34,3.48,21.73,,2.96,44.44,Indian Dishes,27.21,2.18,18.64,0.98,0.02,7.46
Carrot halwa (Gajar ka halwa),,,172.64,3.11,9.73,,2.65,18.53,Indian Dishes,16.85,39.96,106.94,0.76,6.53,44.8
Egg halwa (Ande ka halwa),,,299.74,7.85,13.41,,0.49,39.59,Indian Dishes,37.85,83.04,35.77,1.45,0.0,24.67
Potato halwa (Aloo ka halwa),,,151.66,1.53,3.48,,1.64,29.18,Indian Dishes,17.42,4.23,14.15,0.63,28.98,20.72
Pumpkin halwa (Kaddu ka halwa),,,190.27,1.33,8.81,,2.97,27.6,Indian Dishes,26.64,8.09,24.34,0.63,8.08,27.9
Moong dal halwa,,,349.8,8.35,17.68,,2.65,40.23,Indian Dishes,25.59,11.19,110.4,1.51,0.03,34.53
Caramel custard (steamed),,,121.58,4.97,4.87,,0.0,15.02,Indian Dishes,14.98,43.57,88.12,0.51,3.02,35.21
Baked custard,,,106.53,5.41,5.3,,0.0,9.45,Indian Dishes,9.42,47.13,95.32,0.54,3.02,35.21
Soft Custard (stirred),,,109.18,5.01,5.07,,0.0,11.19,Indian Dishes,11.15,122.17,95.82,0.49,3.62,37.31
Chocolate ice cream,,,177.7,4.47,11.25,,0.0,15.41,Indian Dishes,15.33,36.79,84.24,0.47,4.06,43.75
Mango ice cream,,,125.69,3.4,7.62,,0.52,11.14,Indian Dishes,11.01,29.13,67.17,0.39,44.98,142.26
Fruit Ice cream (Phalon ka Ice cream),,,171.46,4.37,10.38,,0.33,16.05,Indian Dishes,14.03,38.78,93.35,0.36,4.02,15.6
Caramel ice cream,,,173.52,4.31,11.15,,0.08,14.81,Indian Dishes,14.52,33.47,87.32,0.35,3.27,25.96
Lemon souffle,,,168.51,6.95,10.02,,0.0,13.43,Indian Dishes,11.67,50.73,59.81,0.56,12.9,32.11
Orange souffle,,,168.28,6.8,9.73,,0.22,14.2,Indian Dishes,12.31,49.22,59.04,0.65,19.16,37.93
Vanilla souffle,,,187.85,7.71,11.19,,0.0,14.78,Indian Dishes,12.86,56.73,70.6,0.58,1.3,30.71
Chocolate souffle,,,189.32,7.88,11.36,,0.0,14.74,Indian Dishes,12.69,56.07,71.55,0.71,1.3,31.85
Pineapple souffle ,,,196.14,8.06,11.72,,0.0,15.52,Indian Dishes,13.45,59.17,67.23,0.61,1.0,29.66
Apple mousse,,,106.92,4.21,4.27,,1.6,12.77,Indian Dishes,10.56,28.79,33.76,0.48,14.48,35.22
Rich chocolate mousse,,,188.26,7.96,12.19,,0.0,10.84,Indian Dishes,10.3,51.71,54.59,0.97,0.7,31.64
Mango mousse,,,124.98,3.21,8.47,,0.88,9.14,Indian Dishes,8.89,19.62,51.38,0.35,42.76,110.68
Orange and pineapple cream,,,101.18,1.44,5.43,,1.03,11.96,Indian Dishes,11.37,10.17,35.0,0.41,19.89,10.56
Charlotte rousse,,,188.29,3.95,4.78,,1.01,34.08,Indian Dishes,20.48,56.45,34.95,0.53,25.28,28.72
Triffle pudding,,,116.97,2.93,3.93,,0.12,18.24,Indian Dishes,13.89,26.95,48.72,0.47,19.31,28.71
Snow flakes pudding,,,95.21,4.67,4.97,,0.03,8.07,Indian Dishes,8.01,39.6,101.33,0.42,5.47,42.48
Kulfi,,,98.43,3.21,4.7,,0.12,11.3,Indian Dishes,10.39,23.97,111.86,0.2,5.04,18.69
Steamed orange pudding,,,278.03,2.34,12.04,,0.58,41.53,Indian Dishes,26.53,79.1,21.15,0.55,21.74,15.92
Meringue and rice pudding,,,112.93,4.84,4.05,,0.17,14.6,Indian Dishes,10.87,44.16,85.43,0.37,3.02,24.69
Cheese pudding,,,285.01,11.29,18.37,,0.05,19.27,Indian Dishes,18.63,37.83,226.11,0.87,0.3,60.43
Chocolate pudding,,,211.96,3.55,9.48,,0.53,29.59,Indian Dishes,20.68,171.36,64.56,0.6,0.75,18.08
Bread and butter pudding ,,,167.94,5.59,7.88,,0.98,19.63,Indian Dishes,11.84,96.3,105.54,0.9,1.58,21.41
Queen of pudding,,,132.92,5.51,5.38,,0.27,16.35,Indian Dishes,11.77,85.59,78.26,0.53,8.11,46.64
Pineapple upside down pudding,,,257.73,3.15,11.91,,0.8,35.73,Indian Dishes,22.16,74.52,26.05,0.68,9.66,15.44
Date and nut pie,,,322.42,3.93,13.31,,4.13,46.86,Indian Dishes,31.18,3.87,34.69,1.54,6.39,32.22
Stewed apple with custard,,,92.87,1.27,1.82,,1.01,18.36,Indian Dishes,15.46,16.66,49.24,0.18,5.6,10.2
Apple snowballs,,,101.51,0.86,0.31,,1.25,24.58,Indian Dishes,19.4,12.8,9.43,0.18,4.46,4.64
Hot orange souffle,,,179.97,6.87,8.95,,0.29,18.77,Indian Dishes,14.93,58.8,53.81,1.03,7.01,30.66
Hot chocolate souffle,,,226.09,6.7,11.1,,0.12,26.21,Indian Dishes,22.88,54.11,60.19,1.08,0.9,30.6
Hot vanilla souffle,,,192.93,6.87,9.07,,0.13,21.77,Indian Dishes,18.17,59.59,63.2,0.93,0.9,28.8
Plain burfi (Burfi),,,408.32,9.82,27.96,,0.17,30.88,Indian Dishes,30.43,31.65,355.78,1.5,0.05,23.94
Coconut burfi (Nariyal ki burfi),,,467.64,8.81,34.63,,3.5,32.15,Indian Dishes,31.5,27.63,272.81,1.82,0.0,26.6
Bottle gourd burfi (Ghiya/Lauki burfi),,,275.96,5.86,17.68,,0.73,24.51,Indian Dishes,23.92,18.15,215.85,0.93,1.08,34.06
Chocolate burfi,,,339.33,13.0,17.86,,0.0,33.15,Indian Dishes,32.38,39.32,466.48,2.12,0.0,23.85
Cashewnut burfi (Kaju burfi/Kaju katli),,,421.74,5.48,28.46,,1.12,37.92,Indian Dishes,31.43,4.23,12.95,1.79,0.0,2.1
Gram flour burfi (Besan burfi),,,421.79,11.19,22.41,,3.41,46.59,Indian Dishes,28.44,13.02,160.71,1.47,0.0,32.38
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),,,428.71,6.71,21.86,,4.68,52.86,Indian Dishes,33.28,14.4,106.42,1.73,0.03,7.1
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),,,464.43,5.68,27.03,,6.69,50.9,Indian Dishes,27.32,9.06,26.72,1.83,0.05,5.21
Gram flour ladoo (Besan ladoo),,,476.91,8.93,22.76,,4.43,62.61,Indian Dishes,37.76,5.48,25.35,1.51,0.0,24.79
Sesame ladoo (Til ke ladoo),,,396.96,10.7,19.64,,7.72,43.5,Indian Dishes,38.63,18.55,631.82,8.94,0.0,18.17
Chenna murki,,,252.69,10.46,8.2,,0.0,36.01,Indian Dishes,35.55,11.4,266.85,0.55,0.0,46.65
Milk cake,,,127.41,3.01,8.93,,0.06,9.13,Indian Dishes,8.9,24.97,104.94,0.2,8.0,18.19
Ghujia/Lavang latika,,,768.98,1.86,78.93,,0.52,13.0,Indian Dishes,6.08,3.28,31.01,0.44,0.01,6.86
Gulab Jamun with khoya,,,586.06,2.03,53.23,,0.07,26.09,Indian Dishes,24.12,15.09,67.32,0.39,0.02,16.44
Mal pua,,,566.68,1.71,54.64,,0.62,17.56,Indian Dishes,11.77,6.35,30.05,0.33,0.67,5.3
Shahi tukre,,,189.81,2.76,2.54,,0.51,41.46,Indian Dishes,34.7,71.04,76.47,0.37,0.86,7.61
Potato pakora/pakoda (Aloo pakoda),,,677.19,1.9,71.84,,1.03,6.04,Indian Dishes,0.22,63.38,6.59,0.38,18.53,109.12
Onion pakora/pakoda (Pyaaz ke pakode),,,674.61,1.9,71.84,,1.11,5.41,Indian Dishes,0.88,63.55,7.95,0.36,5.36,119.81
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),,,671.63,1.98,71.86,,1.26,4.52,Indian Dishes,0.23,66.54,8.44,0.42,37.72,133.47
Mixed vegetable pakora/pakoda,,,673.81,1.94,71.86,,1.13,5.12,Indian Dishes,0.38,65.35,9.55,0.46,21.46,143.18
Spinach pakora/pakoda (Palak pakoda),,,712.62,1.96,76.38,,1.02,4.68,Indian Dishes,0.2,69.54,10.99,0.52,12.12,153.51
Methi pakora/pakoda (Methi ke pakode),,,713.25,2.06,76.39,,1.18,4.68,Indian Dishes,0.25,69.83,23.07,0.69,23.31,126.81
Egg pakora/pakoda (Ande ke pakode),,,710.51,2.83,75.86,,0.86,4.48,Indian Dishes,0.19,75.37,9.55,0.47,0.01,121.37
Bread pakora/pakoda,,,710.99,2.57,74.2,,1.11,8.87,Indian Dishes,0.46,101.49,19.83,0.46,0.01,114.11
Paneer pakora/pakoda,,,718.12,3.27,76.05,,0.89,5.52,Indian Dishes,1.08,131.7,43.38,0.43,0.07,143.43
Potato bonda (Aloo bonda),,,632.84,1.09,67.8,,0.83,4.53,Indian Dishes,0.27,132.53,6.79,0.37,8.96,16.02
Potato samosa (Aloo ka samosa),,,577.39,1.71,59.19,,1.19,9.21,Indian Dishes,0.29,77.1,7.63,0.5,11.27,12.8
Minced meat samosa (Keema ka samosa),,,620.99,4.43,64.26,,0.39,6.14,Indian Dishes,0.5,88.64,6.7,0.55,0.82,4.62
Paneer and pea samosa (Paneer matar ka samosa),,,623.81,4.02,63.65,,1.02,8.55,Indian Dishes,1.69,78.18,64.56,0.53,6.67,26.39
Mathri,,,805.12,1.75,83.1,,0.6,12.32,Indian Dishes,0.29,64.7,5.23,0.43,0.0,2.38
Khasta kachori,,,712.73,2.51,72.27,,0.97,12.81,Indian Dishes,0.34,90.56,7.84,0.59,0.86,6.38
Vegetable cutlet,,,665.45,1.25,71.33,,0.93,4.68,Indian Dishes,0.35,85.38,13.55,0.4,16.89,30.52
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),,,701.71,1.76,73.89,,0.86,7.39,Indian Dishes,0.27,76.65,9.17,0.59,12.63,23.98
Peanut cutlet (Mungfali ke cutlet),,,698.77,2.63,74.0,,1.21,5.68,Indian Dishes,0.51,84.24,14.38,0.56,12.63,38.52
Fish cutlet (Machli ka cutlet),,,654.64,2.77,70.11,,0.54,3.13,Indian Dishes,0.29,75.33,10.44,0.36,10.46,19.06
Paneer potato cutlet (Paneer aloo cutlet),,,672.94,2.47,71.4,,0.41,5.23,Indian Dishes,1.02,85.71,45.36,0.38,11.61,41.52
Spinach chickpeas cutlet (Palak channa dal cutlet),,,688.03,1.44,73.6,,0.93,4.93,Indian Dishes,0.16,79.13,11.3,0.57,16.18,49.07
Cheese toast,,,785.37,1.98,84.11,,0.31,5.49,Indian Dishes,0.53,121.05,43.87,0.31,0.0,6.85
Vegetable burger,,,519.93,3.26,50.63,,1.7,13.69,Indian Dishes,1.88,168.97,26.08,0.7,24.68,40.96
Cheese pizza,,,249.5,5.79,12.43,,1.95,30.62,Indian Dishes,3.42,397.73,96.51,1.09,6.72,15.85
Vegetable seekh kebab,,,690.73,1.57,73.72,,0.59,5.32,Indian Dishes,0.74,83.67,32.66,0.36,6.86,13.84
Masala vada,,,826.02,1.69,89.15,,1.07,4.06,Indian Dishes,0.24,74.53,7.45,0.52,2.05,32.14
Peanut sago vada (Sabudana mungfali vada),,,749.89,1.01,79.82,,0.62,7.14,Indian Dishes,0.19,71.29,5.03,0.38,9.74,15.66
Vegeterian scotch egg,,,681.67,2.16,72.77,,0.58,4.64,Indian Dishes,0.23,93.33,15.2,0.46,12.53,32.4
Paneer shaslik/tikka,,,93.85,5.11,4.49,,1.23,7.98,Indian Dishes,4.61,103.39,123.86,0.68,107.71,174.74
Peanut brittle (Moongfali ki chikki),,,320.46,6.94,11.13,,2.63,47.46,Indian Dishes,43.92,15.99,68.03,3.22,0.0,7.48
Spring roll,,,623.87,1.81,64.63,,0.67,8.56,Indian Dishes,0.6,132.84,9.51,0.49,4.59,9.59
Dry mango chutney (Sookhe aam ki chutney),,,298.13,2.43,0.7,,3.74,69.17,Indian Dishes,61.86,437.91,72.05,3.98,0.25,5.17
Peanut chutney (Mungfali ki chutney),,,258.37,11.8,19.06,,5.73,9.87,Indian Dishes,2.76,475.34,34.79,1.99,4.2,10.14
Coconut chutney (Nariyal ki chutney),,,265.92,3.59,25.0,,6.73,8.29,Indian Dishes,3.79,428.28,15.7,1.25,4.13,4.74
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),,,102.6,2.81,0.51,,4.33,21.18,Indian Dishes,15.88,391.66,107.45,4.76,3.62,10.89
Custard tart,,,225.6,3.72,10.73,,0.91,28.66,Indian Dishes,9.31,59.74,57.47,0.49,1.18,5.64
Lemon tart,,,303.35,6.12,17.45,,0.81,30.68,Indian Dishes,10.68,76.09,24.03,0.98,2.66,9.19
Jam tart,,,360.72,4.42,17.35,,1.14,46.18,Indian Dishes,14.74,70.34,12.23,0.74,0.0,2.44
Orange cream tart,,,197.16,2.58,8.72,,0.64,27.43,Indian Dishes,10.08,36.85,13.84,0.58,19.6,13.7
Pineapple tart,,,195.4,2.29,8.21,,0.87,28.62,Indian Dishes,11.09,37.88,12.02,0.5,6.85,6.84
Cheese and mushroom tart,,,246.1,5.51,15.28,,1.18,21.43,Indian Dishes,3.16,212.42,100.97,0.59,6.53,7.96
Cottage cheese pie,,,238.98,7.45,13.83,,2.21,20.66,Indian Dishes,3.62,103.29,108.05,0.92,36.25,124.39
Minced meat pie,,,221.55,7.38,13.04,,2.33,18.11,Indian Dishes,1.42,127.85,18.14,1.07,37.52,69.49
Apple cinnamon pie,,,258.73,3.35,12.21,,1.77,33.68,Indian Dishes,11.95,60.14,16.14,0.65,2.24,11.58
Lemon meringue pie,,,224.43,3.88,8.16,,0.44,35.11,Indian Dishes,21.17,85.12,16.79,0.67,5.1,17.48
Chocolate meringue pie,,,214.76,4.98,9.17,,0.37,28.8,Indian Dishes,15.03,80.77,55.98,0.92,1.26,23.21
Cream puffs,,,221.33,4.7,15.48,,0.38,16.0,Indian Dishes,5.94,98.76,37.93,0.58,0.2,8.79
Chocolate eclairs,,,239.42,4.24,13.5,,0.33,26.22,Indian Dishes,17.34,85.88,34.21,0.68,0.4,18.34
Cheese balls,,,681.28,2.21,72.57,,0.18,4.81,Indian Dishes,0.63,120.7,30.01,0.32,0.01,2.95
Minced meat patties,,,265.72,6.88,19.57,,0.77,15.25,Indian Dishes,0.88,252.18,19.23,0.93,1.58,16.37
Cheese patties,,,324.01,7.38,22.67,,1.24,22.23,Indian Dishes,3.93,295.22,126.41,0.82,3.37,31.43
Hot cheese souffle,,,177.1,9.18,13.23,,0.12,5.41,Indian Dishes,2.91,286.96,169.17,0.83,2.41,66.94
Hot potato souffle,,,125.64,5.51,7.64,,0.66,8.56,Indian Dishes,1.78,97.2,56.84,0.79,30.19,78.05
Hot fish souffle,,,142.92,11.23,9.24,,0.1,3.69,Indian Dishes,1.68,110.94,58.18,0.7,2.41,70.97
Hot spinach souffle,,,104.25,5.43,7.24,,0.99,4.19,Indian Dishes,1.64,104.69,80.77,1.67,47.83,272.44
Plain cream cake,,,353.94,6.18,16.17,,0.71,47.18,Indian Dishes,27.74,174.0,41.95,1.02,0.08,8.66
Apple cake (Seb ka cake),,,290.08,4.94,12.87,,1.22,39.48,Indian Dishes,23.52,136.95,38.99,0.9,1.16,9.32
Marble cake,,,354.11,6.3,16.27,,0.71,46.88,Indian Dishes,27.56,138.48,39.6,1.12,0.08,8.85
Chocolate cake,,,335.61,6.01,15.18,,0.64,45.14,Indian Dishes,27.58,241.93,41.13,1.08,0.15,9.21
Orange cake,,,357.61,6.1,16.21,,0.83,48.28,Indian Dishes,28.38,105.41,29.72,1.06,1.88,9.25
Fruit Loaf ,,,324.19,5.36,13.31,,0.87,46.49,Indian Dishes,24.54,160.6,45.71,0.96,2.47,7.82
Banana cake (Kele ka cake),,,389.51,5.77,23.31,,1.14,40.0,Indian Dishes,23.04,117.81,23.55,1.14,0.98,11.33
Chocolate chiffon cake,,,311.71,5.76,15.8,,0.7,37.87,Indian Dishes,24.25,188.59,42.15,1.07,0.21,12.0
Christmas cake,,,372.95,5.49,16.88,,1.49,48.29,Indian Dishes,27.45,64.84,40.98,1.32,8.51,17.06
Strawberry and vanilla cake with butter icing,,,370.54,3.89,20.39,,0.79,44.25,Indian Dishes,32.43,107.27,28.17,0.7,8.4,12.8
Eggless cake,,,318.08,8.12,11.75,,0.68,46.14,Indian Dishes,27.7,310.5,212.97,0.61,1.35,7.58
Swiss roll,,,251.87,7.3,3.77,,0.55,48.34,Indian Dishes,32.96,51.9,24.11,1.19,0.0,14.36
Pineapple pastry ,,,208.21,6.06,7.87,,0.72,29.04,Indian Dishes,18.83,44.3,42.97,0.86,3.64,17.42
Black forest pastry,,,233.55,6.09,8.46,,0.54,34.48,Indian Dishes,21.35,53.43,44.15,0.92,0.91,16.28
Coconut finger,,,274.86,7.09,8.86,,1.87,42.56,Indian Dishes,28.55,46.86,24.04,1.31,0.0,15.88
Pineapple cake ,,,195.57,5.01,9.34,,0.76,23.51,Indian Dishes,16.16,37.47,49.06,0.64,27.35,80.64
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),,,424.8,6.56,23.62,,1.54,47.1,Indian Dishes,22.58,280.44,36.1,1.37,0.16,4.22
Chocolate chip cookies,,,425.29,5.79,19.38,,1.05,57.98,Indian Dishes,30.29,278.29,24.76,1.22,0.0,2.62
Sweet plain biscuit,,,380.76,5.86,17.67,,1.07,50.29,Indian Dishes,21.77,132.59,42.88,0.92,0.03,1.7
Chocolate biscuit,,,379.76,5.88,17.09,,1.01,51.56,Indian Dishes,24.16,127.02,41.51,1.14,0.03,1.81
Coconut biscuit (Nariyal ke biscuit),,,434.98,5.78,27.16,,3.64,42.9,Indian Dishes,20.76,105.76,37.81,1.32,0.03,2.51
Sweet and salty biscuit (Meethay aur namkeen biscuit),,,407.96,6.15,22.39,,1.68,45.09,Indian Dishes,7.22,414.7,37.24,1.05,0.03,1.02
Peanut biscuit,,,401.05,8.45,20.41,,2.48,46.72,Indian Dishes,21.26,202.26,50.58,1.34,0.03,4.23
